userName,score,at,content
Nayla Asyfa,5,2022-01-18 12:26:19,Bagus sekali
austin almayda,5,2022-01-18 12:08:06,Harganya bersahabat banget.. Fast respon juga..
Putri Ramasari,1,2022-01-18 12:00:00,"saya order drivernya selalu telat.. dan sya order 1, tapi yg dtang 2 .. dan drivernya banyak yg ga sopan..kasar"
Resty Widiawati,1,2022-01-18 11:49:03,Perbaiki lagi bos..masa nyari lokasi aja gak bisa..ngetik apa muncul apa
Inda Ramatika,1,2022-01-18 11:41:24,Apk menguji kesabaran
AKBAR Dolen,2,2022-01-18 11:37:15,Suka error
afida tul hasanah,5,2022-01-18 11:34:45,baik dan sangat ramah
Indri Sri rejeki,5,2022-01-18 11:33:50,sangat ramah
Evi suinzy Marpaung,5,2022-01-18 11:27:26,sangat bagus pelayanannya ramah murah
Lilis Abdul,5,2022-01-18 11:25:56,luar biasa seneng nemuin aplikasi ini harga terjangkau dg kualitas yg sama dg aplikasi yg lain sukses dan semangat ya tingkatkan trs kualitas biar gak tertandingi
Mohammed Husni,5,2022-01-18 11:24:58,tepat waktu
Dimas Tedjo,5,2022-01-18 11:11:24,makasih buat Abang maximnya 🤗
Tri Purweni,5,2022-01-18 11:11:06,"driver yg amanah ramah dan cepat pengirimannya. semoga driver selalu amanah, terimakasih 🙏"
Fenisa Zahra,5,2022-01-18 11:06:27,Makasih
aanmarhatiyah yusuf,5,2022-01-18 10:55:33,ramah dan amanah 👍
sofia sofia,5,2022-01-18 10:52:02,good performance
Adpw_ art,5,2022-01-18 10:47:48,"Gps sama map nya dibenerin ya, ongkosnya ditambahin. kasian sama drivernya. selain itunudah oke si semuanya."
Aditya Saputra,1,2022-01-18 10:14:15,"Punumpang senang driver meringis,, klo ngasih argo yg bner lah bos,,, jgn bercanda mulu hidup lu,, 2022 masih ada aja argo sampah, mau untung tapi driver buntung,, bapak lu aja sono suruh narik!!!!"
Anna Widys,3,2022-01-18 10:08:16,"map nya lemot, jadi ojolnya nyasar-nyasar"
melisa kadir,5,2022-01-18 10:05:56,ketepatan lokasi
Yuli Ani,5,2022-01-18 10:01:21,trimakasih banyak
Agung Wijaya,2,2022-01-18 09:43:16,Dapat drivernya jauh2 terus
Ade S,5,2022-01-18 09:31:43,bagus...
Cuplis #87,2,2022-01-18 09:27:14,Min Gmana sih cara ngubungi cs maxim?? Sy udah daftar tp lupa pasword.
Lucky Zuari,5,2022-01-18 09:23:39,kreen
Rahma Nia,5,2022-01-18 09:19:45,ok
allan syailendra,5,2022-01-18 09:19:33,"terus dikembangkan teknologinya, dan jaringan GPS nya yang akurat. sehingga pengemudi yang terdekat dengan konsumen dapat D jangkau. Tetap maxim ada dihati saya. Terima kasih maxim"
darwis Iradat,5,2022-01-18 09:14:24,kurir ramah dan sopan
Endyanto adi Mahendra,5,2022-01-18 08:53:03,driver ramaaaahhhhh banget good job pak henrico
Diana Sartika,5,2022-01-18 08:51:03,pelayanan nya sangat bagus
Rizky Qnoy,5,2022-01-18 08:47:00,mantap dan cepat
Ade Ikhsan,5,2022-01-18 08:44:00,mantap
Khoirul Anam,5,2022-01-18 08:42:05,"ok, jazakallah."
Nesa Yanri,5,2022-01-18 08:36:07,Htrnhn.... selamat smp tujuan
Mardi,5,2022-01-18 08:35:53,Excellent
uyhaw nostra,5,2022-01-18 08:31:02,mantap
DBS,5,2022-01-18 08:30:56,Tidak semua driver maxim berperilaku buruk
Kusno Raharjo,5,2022-01-18 08:27:58,mantab
Albert Pondanan,4,2022-01-18 08:27:43,Sangat menguntungkan konsumen krn tarif Sangat terjangkau
Wiliam Adriaan,5,2022-01-18 08:27:22,driver ramah dan sopan
Afifah & bilal channel,5,2022-01-18 08:26:38,"ini baru murah meriah, menguntungkan driver dan customer"
INDO ITTING,5,2022-01-18 08:26:12,pelayanan mantap
Sangkawang #soranganwae,4,2022-01-18 08:22:36,"Perdana gunakan aplikasi ini,layanan baik ,👍"
Isvan Channel,5,2022-01-18 08:18:34,Terima kasih banyak om
Arbian nur,5,2022-01-18 08:10:17,bagus
Bowo Adi,5,2022-01-18 08:06:43,sangat baik
Timotius Natanael,5,2022-01-18 08:01:39,Mantap
Dhedek Siti Habsyah,5,2022-01-18 07:54:47,Harga bersahabat
