web-scraper-order,web-scraper-start-url,ulasan
"1626441946-178","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","fitur2 ebooknya dilengkapi lg agar pembaca tetap bisa mendapatkan pengalaman yg sama seperti membaca buku cetak. Terutama highlighter dan notes. Tambahin itu aja dulu deh serius. Lebih bagus lagi kalo highlight dan notes bisa disinkronkan dg cloud tertentu. Yg lain2: edit profil, wishlisht, night mo...Ulasan Lengkap"
"1626441946-134","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kalau bisa background gramedia digital book seperti googlebook, hitam sehingga tidak menyilaukan mata yang membaca lama. Silau bikin mata cepat lelah.... Selebihnya formatnya baguuusss...."
"1626441946-137","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","cukup sekali pake apps ini. dan ngk mo instal lagi lagi. hiks. kecewha. sekian dan terima kasih."
"1626441946-130","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sebel sih karena pas qt langganan qt masih tetep gak bisa download buat save, kek sia2 aja gitu... Hanya bisa baca doang tapi gak bisa di save/unduh. Harganya sama pula kek buku cetaknya."
"1626441946-124","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","PLEASE ADD NIGHT MODE ( DARK THEME ) Overall ,Koleksi bukunya bagus namun ada beberapa saran & kritik lain yang saya harap setidaknya dipertimbangkan developer terkait kenyamanan untuk pembacaan buku. Mohon lebih dioptimalkan dengan mode malam, efek ganti halaman, dll"
"1626441946-194","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Jadi ragu pakenya, banyak review yg udah bayar premium malah banyak masalahnya, ujung-ujung diminta laporan ke email. Lah kan komentar di sini juga harusnya sama saja, tinggal kalian laporkan dan perbaiki."
"1626441946-106","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","1. Saya mengalami kesulitan untuk merubah email saya yang salah tulis 2. Tidak ada costumer service yg available, saya bingung mau tanya tanya kemana Sekian,semoga bisa jadi masukan tuk perbaikan"
"1626441946-202","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Ternyata hanya bisa dibaca di apps Gramedia digital saja. Percuma jika tidak bisa diunduh file pdf nya. Tidak bisa dicetak, sehingga tidak bisa dijadikankan referensi penelitian dalam bentuk fisik. Padahal sudah bayar dengan go pay. Harganya pun jauh lebih mahal dibanding google play buku"
"1626441946-184","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Koleksi buku novel mohon di perlengkap..penulis2 terkenal banyak yg gak ada di sini..jadi kami yg jauh dari indonesia susah mendapatkan buku2nya..harapan satu2nya yaa via app seperti ini..tp saya searching di app ini gak ada penulis2 dan novel yg saya cari..padahal buku nya sangat familiar dan terke...Ulasan Lengkap"
"1626441946-199","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","sudah 2 kali terjadi demikian, ada tulisan aplikasi berhenti, jadi ga bisa buka aplikasi, pdhl baru bayar dan download buku2. masak ulang dr awal lagi unduhnya, habisin data saja ya."
